date_line,index_capital_line
2010-07-30 00:00:00.005,2868.846
2010-08-02 00:00:00.005,2917.275
2010-08-03 00:00:00.005,2865.971
2010-08-04 00:00:00.005,2876.434
2010-08-05 00:00:00.005,2850.829
2010-08-06 00:00:00.005,2897.659
2010-08-09 00:00:00.005,2918.241
2010-08-10 00:00:00.005,2832.638
2010-08-11 00:00:00.005,2850.211
2010-08-12 00:00:00.005,2816.386
2010-08-13 00:00:00.005,2855.547
2010-08-16 00:00:00.005,2922.083
2010-08-17 00:00:00.005,2942.291
2010-08-18 00:00:00.005,2937.362
2010-08-19 00:00:00.005,2955.395
2010-08-20 00:00:00.005,2898.333
2010-08-23 00:00:00.005,2896.192
2010-08-24 00:00:00.005,2911.827
2010-08-25 00:00:00.005,2843.023
2010-08-26 00:00:00.005,2850.093
2010-08-27 00:00:00.005,2858.566
2010-08-30 00:00:00.005,2915.01
2010-08-31 00:00:00.005,2903.188
2010-09-01 00:00:00.005,2884.042
2010-09-02 00:00:00.005,2921.393
2010-09-03 00:00:00.005,2920.205
2010-09-06 00:00:00.005,2975.09
2010-09-07 00:00:00.005,2983.108
2010-09-08 00:00:00.005,2980.967
2010-09-09 00:00:00.005,2926.46
2010-09-10 00:00:00.005,2932.554
2010-09-13 00:00:00.005,2962.319
2010-09-14 00:00:00.005,2965.009
2010-09-15 00:00:00.005,2913.194
2010-09-16 00:00:00.005,2857.789
2010-09-17 00:00:00.005,2861.369
2010-09-20 00:00:00.005,2849.828
2010-09-21 00:00:00.005,2857.476
2010-09-27 00:00:00.005,2905.029
2010-09-28 00:00:00.005,2880.907
2010-09-29 00:00:00.005,2874.812
2010-09-30 00:00:00.005,2935.574
2010-10-08 00:00:00.005,3044.233
2010-10-11 00:00:00.005,3132.895
2010-10-12 00:00:00.005,3172.726
2010-10-13 00:00:00.005,3217.577
2010-10-14 00:00:00.005,3224.14
2010-10-15 00:00:00.005,3327.683
2010-10-18 00:00:00.005,3306.16
2010-10-19 00:00:00.005,3375.674
2010-10-20 00:00:00.005,3396.879
2010-10-21 00:00:00.005,3374.685
2010-10-22 00:00:00.005,3378.655
2010-10-25 00:00:00.005,3481.081
2010-10-26 00:00:00.005,3466.084
2010-10-27 00:00:00.005,3403.872
2010-10-28 00:00:00.005,3397.692
2010-10-29 00:00:00.005,3379.983
2010-11-01 00:00:00.005,3472.995
2010-11-02 00:00:00.005,3463.131
2010-11-03 00:00:00.005,3420.341
2010-11-04 00:00:00.005,3480.505
2010-11-05 00:00:00.005,3520.798
2010-11-08 00:00:00.005,3548.566
2010-11-09 00:00:00.005,3523.954
2010-11-10 00:00:00.005,3499.111
2010-11-11 00:00:00.005,3509.975
2010-11-12 00:00:00.005,3291.833
2010-11-15 00:00:00.005,3314.893
